1,89,3528,89
2,83,3352,86
3,79,3563,83.666664
4,76,3688,81.75
5,72,3298,79.8
6,69,3647,78
7,67,3744,76.42857
8,64,3531,74.875
9,60,3542,73.22222
10,59,3546,71.8
11,56,3793,70.36364
12,56,3729,69.16667
13,53,3745,67.92308
14,53,3676,66.85715
15,52,3397,65.86667
16,50,3645,64.875
17,46,3818,63.764706
18,46,3561,62.77778
19,44,3802,61.789474
20,43,3740,60.85
21,42,3653,59.95238
22,41,3869,59.090908
23,37,4066,58.130436
24,37,4066,57.25
25,37,4066,56.44
26,37,4066,55.692307
27,37,3765,55
28,37,3765,54.357143
29,36,3615,53.724136
30,36,3615,53.133335
31,34,3921,52.51613
32,34,3921,51.9375
33,34,3743,51.39394
34,32,3824,50.82353
35,31,3776,50.25714
36,31,3776,49.72222
37,31,3776,49.216217
38,31,3776,48.736843
39,31,3776,48.28205
40,28,3597,47.775
41,28,3597,47.292683
42,28,3597,46.833332
43,28,3597,46.395348
44,28,3597,45.977272
45,28,3597,45.577778
46,28,3597,45.195652
47,26,3764,44.787235
48,26,3764,44.395832
49,26,3764,44.02041
50,26,3764,43.66
51,26,3649,43.313725
52,26,3649,42.98077
53,26,3649,42.660378
54,26,3649,42.351852
55,26,3601,42.054546
56,25,3699,41.75
57,25,3699,41.45614
58,25,3699,41.172413
59,24,3761,40.881355
60,24,3761,40.6
61,24,3761,40.32787
62,22,3784,40.032257
63,22,3784,39.746033
64,21,3693,39.453125
65,21,3693,39.16923
66,21,3693,38.89394
67,21,3693,38.626865
68,21,3693,38.367645
69,21,3693,38.115944
70,21,3693,37.871433
71,21,3693,37.63381
72,21,3596,37.402786
73,21,3596,37.17809
74,21,3596,36.959465
75,21,3596,36.746674
76,19,3587,36.513165
77,19,3587,36.28572
78,19,3587,36.06411
79,19,3587,35.848106
80,19,3587,35.637505
81,19,3587,35.432106
82,19,3587,35.231712
83,19,3587,35.03615
84,19,3587,34.845245
85,19,3587,34.65883
86,19,3587,34.47675
87,19,3587,34.298855
88,19,3587,34.125004
89,18,3486,33.943825
90,18,3486,33.76667
91,18,3486,33.59341
92,18,3486,33.423916
93,18,3486,33.258068
94,18,3486,33.09575
95,18,3486,32.936848
96,18,3486,32.781254
97,18,3486,32.628872
98,18,3486,32.479595
99,18,3486,32.333336
100,16,3633,32.170002
101,16,3633,32.009903
102,16,3633,31.852943
103,16,3633,31.699032
104,16,3633,31.548079
105,16,3633,31.400002
106,16,3633,31.254719
107,16,3633,31.112152
108,16,3633,30.972225
109,16,3633,30.834866
110,16,3633,30.700003
111,16,3633,30.56757
112,16,3633,30.437502
113,16,3633,30.309736
114,16,3633,30.184212
115,16,3633,30.060871
116,16,3633,29.939657
117,16,3633,29.820515
118,16,3633,29.703392
119,16,3633,29.588238
120,16,3633,29.475002
121,16,3633,29.363638
122,16,3633,29.2541
123,16,3633,29.146343
124,16,3633,29.040325
125,16,3633,28.936003
126,13,3572,28.809526
127,13,3572,28.685041
128,13,3572,28.562502
129,13,3572,28.441862
130,13,3572,28.323078
131,13,3572,28.206108
132,13,3572,28.090912
133,13,3572,27.977448
134,13,3572,27.865675
135,13,3572,27.75556
136,13,3572,27.647062
137,13,3572,27.54015
138,13,3572,27.434786
139,13,3572,27.330938
140,13,3572,27.228575
141,13,3572,27.127663
142,13,3572,27.028172
143,13,3572,26.93007
144,13,3572,26.833336
145,13,3572,26.737934
146,13,3572,26.643839
147,13,3572,26.551023
148,13,3572,26.459463
149,13,3572,26.369131
150,13,3572,26.280003
151,13,3572,26.192057
152,13,3572,26.105267
153,13,3572,26.019611
154,13,3572,25.935068
155,13,3572,25.851616
156,13,3572,25.769234
157,13,3572,25.6879
158,13,3572,25.607597
159,12,3606,25.522017
160,12,3606,25.437504
161,12,3606,25.35404
162,12,3606,25.271608
163,12,3606,25.190187
164,12,3606,25.109758
165,12,3606,25.030306
166,12,3606,24.95181
167,12,3579,24.874254
168,12,3579,24.797623
169,12,3579,24.721897
170,12,3431,24.647062
